keys,en,fr
UI_APP_TITLE,BrainUp,BrainUp
UI_APP_SUBTITLE,Learn • Compete • Rise,Apprendre • Rivaliser • Progresser
UI_APP_TAGLINE,LEARN • COMPETE • RISE,LEARN • COMPETE • RISE
UI_PLAY,Play,Jouer
UI_LOGIN,Log in,Se connecter
UI_SETTINGS,Settings,Paramètres
UI_PROFILE,Profile,Profil
UI_BACK,Back,Retour
UI_CHOOSE_CATEGORY,Choose a category,Choisissez une catégorie
UI_NO_CATEGORIES,No categories available.,Aucune catégorie disponible.
UI_QUESTION,Question,Question
UI_SCORE,Score,Score
UI_COMBO,Combo,Combo
UI_CORRECT,Correct!,Bonne réponse !
UI_WRONG,Wrong!,Mauvaise réponse !
UI_TIME_UP,Time's up!,Temps écoulé !
UI_RESULTS,Results,Résultats
UI_FINAL_SCORE,Final score,Score final
UI_CORRECT_COUNT,Correct answers,Bonnes réponses
UI_BEST_COMBO,Best combo,Meilleur combo
UI_AVG_TIME,Average time,Temps moyen
UI_PLAY_AGAIN,Play again,Rejouer
UI_MAIN_MENU,Main menu,Menu principal
UI_LANGUAGE,Language,Langue
UI_PLAYER_LEVEL,Level {level},Niveau {level}
UI_SECONDS,{value}s,{value}s
UI_CATEGORY_SPORT,Sports,Sport
UI_CATEGORY_CINEMA,Cinema,Cinéma
UI_CATEGORY_HISTORY,History,Histoire
UI_LOADING,Loading...,Chargement...
UI_EMPTY_QUESTIONS,Not enough questions in this category for your language.,Pas assez de questions dans cette catégorie pour votre langue.
UI_PROFILE_TITLE,Player profile,Profil joueur
UI_PROFILE_PSEUDO,Pseudonym,Pseudo
UI_PROFILE_PSEUDO_PLACEHOLDER,Enter your name...,Entrez votre pseudo...
UI_PROFILE_PHOTO,Profile photo,Photo de profil
UI_PROFILE_CHANGE_PHOTO,Change photo,Changer la photo
UI_PROFILE_REMOVE_PHOTO,Remove photo,Retirer la photo
UI_PROFILE_SAVE,Save profile,Enregistrer le profil
UI_PROFILE_GAMES_PLAYED,Games played,Parties jouées
UI_PROFILE_WINS,Wins,Victoires
UI_PROFILE_LOSSES,Losses,Défaites
UI_PROFILE_WIN_RATE,Win rate,Taux de réussite
UI_PROFILE_FAVORITE_THEME,Favorite theme,Thème favori
UI_PROFILE_NO_FAVORITE,No favorite yet,Aucun thème favori
UI_PROFILE_SAVED,Profile saved,Profil enregistré
UI_TAB_HOME,Home,Accueil
UI_TAB_QUIZ,Quiz,Quiz
UI_TAB_SOCIAL,Social,Social
UI_TAB_LEADERBOARD,Leaderboard,Classement
UI_LEADERBOARD_FILTER_ALL,All,Toutes
UI_LEADERBOARD_PODIUM,Top 3,Top 3
UI_LEADERBOARD_YOUR_RANK,Your rank: #{rank},Votre rang : #{rank}
UI_LEADERBOARD_NO_RANK,Play a quiz to enter the leaderboard.,Jouez à un quiz pour entrer au classement.
UI_LEADERBOARD_YOU,You,Vous
UI_LEADERBOARD_ROW_META,{rank_title} · Lv.{level},{rank_title} · Niv.{level}
UI_LEADERBOARD_EMPTY,No scores yet for this category.,Aucun score pour cette catégorie.
UI_LEADERBOARD_DEMO_HINT,Sample leaderboard shown for preview.,Classement d'exemple affiché en aperçu.
UI_TAB_PROFILE,Profile,Profil
UI_HOME_HELLO,Hey {name},Salut {name}
UI_HOME_QUIZ_HINT,Tap the Quiz button below to start a round.,Appuie sur le bouton Quiz pour lancer une partie.
UI_SOCIAL_CHALLENGE_HINT,Ready for a challenge,Prêt pour un défi
UI_COMING_SOON,Coming soon,Bientôt disponible
UI_COMING_SOON_DESC,This feature is under development.,Cette fonctionnalité est en cours de développement.
